time_days,S_su,S_aa,S_fa,S_va,S_bu,S_pro,S_ac,S_h2,S_ch4,S_IC,S_IN,S_I,X_ch,X_pr,X_li,X_su,X_aa,X_fa,X_c4,X_pro,X_ac,X_h2,X_I,S_cat,S_an,S_Fe2,S_EDTA,S_FeEDTA,X_FeS
0.09889837415339904,2.0515880473973325,0.0004727529777481836,0.04678258681507268,0.0005834972547939147,0.0005834972547939147,0.0014217397606342797,0.49354426954408315,-3.1746919834750575e-28,0.1,0.1,0.05,0.1,10.0,8.0,6.0,1.2948411952602656,0.9599621797617802,0.603193044791095,0.5,0.4098833005490412,0.30788626081914905,0.20032278652279606,2.0000000600000005,0.01,0.01,0.008991204119606798,1.1120620577715323e-07,0.0009998887937942226,8.907086598978347e-06
0.10020056210206049,2.010932604112931,0.00038396251643284593,0.04629141976789109,0.0005469165142256171,0.0005469165142256171,0.00132768178270854,0.4934587941720282,1.2955247490342446e-28,0.1,0.1,0.05,0.1,10.0,8.0,6.0,1.2989067395887055,0.9599692829986853,0.603222514813926,0.5,0.4098906166971548,0.307893785457383,0.2003270602913988,2.0000000600000005,0.01,0.01,0.008991087039434425,1.1120764758776823e-07,0.0009998887923524122,9.024168213159898e-06
0.10150275005072194,1.9703135754604055,0.00031183149188494834,0.04580485606351196,0.0005126174060803489,0.0005126174060803489,0.0012397687233581575,0.493373320231427,-2.823729799685011e-29,0.1,0.1,0.05,0.1,10.0,8.0,6.0,1.3029686424539577,0.9599750534806492,0.6032517086361887,0.5,0.40989747651878394,0.307900818502131,0.20033133398842884,2.0000000600000005,0.01,0.01,0.008990969960794392,1.1120909714462972e-07,0.000999888790902855,9.141248302747471e-06
0.1028049379993834,1.929737391206269,0.00025323900619857826,0.0453228629645418,0.00048045903334026553,0.00048045903334026553,0.0011576089644541809,0.49328784785536994,1.2928412722270788e-30,0.1,0.1,0.05,0.1,10.0,8.0,6.0,1.307026260879372,0.9599797408795041,0.6032806282221269,0.5,0.4099039081933319,0.3079073912828434,0.2003356076072317,2.0000000600000005,0.01,0.01,0.008990852883681384,1.1121054914929299e-07,0.0009998887894508506,9.25832686776098e-06
0.10410712594804485,1.8892107797834514,0.00020564771263106328,0.044845407781182456,0.00045030902932293517,0.00045030902932293517,0.0010808346042107903,0.493202377168495,8.18561234220906e-31,0.1,0.1,0.05,0.1,10.0,8.0,6.0,1.3110789220216539,0.9599835481829895,0.6033092755331285,0.5,0.4099099381941354,0.3079135332316628,0.2003398811415755,2.0000000600000005,0.01,0.01,0.00899073580808883,1.1121199705601392e-07,0.000999888788002944,9.375403908220352e-06
0.10569650114162743,1.8398237939490834,0.00015950349109244218,0.044268755636200724,0.0004160510305394922,0.0004160510305394922,0.000993925354048729,0.4930980590563804,4.6341194199160475e-31,0.1,0.1,0.05,0.1,10.0,8.0,6.0,1.31601762060509,0.9599872397207125,0.6033438746618275,0.5,0.40991678979389207,0.3079204859716758,0.20034509704718118,2.0000000600000005,0.01,0.01,0.008990592914463403,1.1121376071839875e-07,0.0009998887862392814,9.51829929731378e-06
0.10728587633521001,1.7905346436361682,0.00012371305254129606,0.04369875587285128,0.0003843892904249494,0.0003843892904249494,0.000913939907588762,0.4929937438313257,-2.0119045744566554e-31,0.1,0.1,0.05,0.1,10.0,8.0,6.0,1.3209465356363819,0.9599901029557966,0.6033780746476284,0.5,0.40992312214191484,0.3079268848073926,0.20035031280843393,2.0000000600000005,0.01,0.01,0.008990450023112004,1.1121552731607885e-07,0.0009998887844726839,9.661192415309449e-06
0.1088752515287926,1.74135758128316,9.595217960656639e-05,0.04313534938435192,0.00035512850343741694,0.00035512850343741694,0.0008403365485124741,0.49288943167528204,5.51879734336287e-32,0.1,0.1,0.05,0.1,10.0,8.0,6.0,1.3258642418716826,0.9599923238256316,0.6034118790369384,0.5,0.40992897429931235,0.30793277307611877,0.2003555284162361,2.0000000600000005,0.01,0.01,0.008990307134035121,1.1121729736759973e-07,0.000999888782702632,9.804083262243442e-06
0.11046462672237518,1.6923076861174853,7.441818223714657e-05,0.04257847720174917,0.00032808784445186577,0.00032808784445186577,0.0007726144337307972,0.4927851227560453,-6.12011175406851e-33,0.1,0.1,0.05,0.1,10.0,8.0,6.0,1.3307692313882502,0.9599940465454212,0.6034452913678945,0.5,0.4099343824311095,0.3079381908453012,0.20036074386219793,2.0000000600000005,0.01,0.01,0.008990164247228009,1.1121906616584671e-07,0.0009998887809338337,9.946971838151917e-06
0.11205400191595777,1.6434009158473664,5.771516453217586e-05,0.0420280805023865,0.0003030999280971672,0.0003030999280971672,0.0007103107438320725,0.4926808172283265,-8.668404683207426e-34,0.1,0.1,0.05,0.1,10.0,8.0,6.0,1.3356599084152618,0.9599953827868375,0.6034783151698565,0.5,0.40993938001438046,0.30794317514049324,0.2003659591385839,2.0000000600000005,0.01,0.01,0.008990021362689402,1.1122083247627362e-07,0.0009998887791675235,1.0089858143070975e-05
